time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation,timestamp_ms,time_offset,distance,starttimestamp_ms,profile_name,battery_charging,frequency
2024-12-03 20:40:41+00:00,32.42889608955011,-111.30483504384756,563.8333333333334,3.0,353.1,2.25,25,gps,0.6,0.8,1.0,-27.6,,,,73,,1733258128000,2024-12-03T13:35:28.000-07:00,43360.76749201649,1733224973825,Default Profile,True,6
2024-12-03 20:41:42+00:00,32.42940165102482,-111.30991551093756,561.0,2.0,270.3,23.25,23,gps,0.4,0.6,0.8,-27.6,,,,72,,1733258502000,2024-12-03T13:41:42.000-07:00,43905.09472230916,1733224973825,Default Profile,False,1
2024-12-03 20:42:43+00:00,32.42939984891564,-111.32464410737155,560.0,2.0,270.0,22.92,23,gps,0.4,0.6,0.8,-27.6,,,,72,,1733258563000,2024-12-03T13:42:43.000-07:00,45287.4382562073,1733224973825,Default Profile,False,1
2024-12-03 20:43:44+00:00,32.429384174756706,-111.33936398662628,557.0,2.0,270.4,22.789999,23,gps,0.4,0.6,0.8,-27.6,,,,72,,1733258624000,2024-12-03T13:43:44.000-07:00,46668.96486323345,1733224973825,Default Profile,False,1
2024-12-03 20:44:45+00:00,32.43289698846638,-111.3469995651394,561.0,1.5,359.8,23.08,23,gps,0.4,0.6,0.8,-27.7,,,,71,,1733258685000,2024-12-03T13:44:45.000-07:00,47485.12437972946,1733224973825,Default Profile,False,1
2024-12-03 20:45:46+00:00,32.443936206400394,-111.34471834637225,556.0,2.5,3.3,17.65,23,gps,0.4,0.6,0.8,-27.7,,,,71,,1733258746000,2024-12-03T13:45:46.000-07:00,48731.15779410189,1733224973825,Default Profile,False,1
2024-12-03 20:46:47+00:00,32.45614092797041,-111.34472379460932,549.0,1.5,359.9,21.49,23,gps,0.4,0.6,0.8,-27.7,,,,71,,1733258807000,2024-12-03T13:46:47.000-07:00,50088.26101008659,1733224973825,Default Profile,False,1
2024-12-03 20:47:48+00:00,32.46398194693029,-111.34565896354616,544.0,2.5,247.4,11.469999,23,gps,0.4,0.6,0.8,-27.7,,,,70,,1733258868000,2024-12-03T13:47:48.000-07:00,50964.54617051463,1733224973825,Default Profile,False,1
2024-12-03 20:48:49+00:00,32.46148099657148,-111.3558020722121,552.0,2.5,248.1,15.79,23,gps,0.4,0.8,0.8,-27.7,,,,70,,1733258929000,2024-12-03T13:48:49.000-07:00,51955.97073656097,1733224973825,Default Profile,False,1
2024-12-03 20:49:50+00:00,32.458542636595666,-111.3642549701035,559.0,2.0,227.0,22.01,23,gps,0.4,0.8,0.8,-27.6,,,,70,,1733258990000,2024-12-03T13:49:50.000-07:00,52813.70992273559,1733224973825,Default Profile,False,1
2024-12-03 20:50:51.735000+00:00,32.45188937522471,-111.37356474995612,570.0,16.0,220.1,18.74,7,gps,0.4,0.8,0.8,-27.6,,,,70,,1733259051735,2024-12-03T13:50:51.735-07:00,53958.41213157817,1733224973825,Default Profile,False,1
2024-12-03 20:51:53.974000+00:00,32.445584926754236,-111.38185562565924,573.0,18.5,228.8,18.91,17,gps,0.4,0.8,1.0,-27.6,,,,69,,1733259113974,2024-12-03T13:51:53.974-07:00,55005.63101383819,1733224973825,Default Profile,False,1
2024-12-03 20:52:55+00:00,32.44536188431084,-111.39259066432714,594.0,2.0,273.1,15.929999,23,gps,0.4,0.8,1.0,-27.7,,,,69,,1733259175000,2024-12-03T13:52:55.000-07:00,56013.28723360912,1733224973825,Default Profile,False,1
2024-12-03 20:53:56.804000+00:00,32.443983857519925,-111.40426070429385,598.0,17.0,286.1,20.39,21,gps,0.6,0.8,1.0,-27.7,,,,69,,1733259236804,2024-12-03T13:53:56.804-07:00,57119.05447121875,1733224973825,Default Profile,False,1
2024-12-03 20:54:57+00:00,32.44588022120297,-111.41478594392538,610.0,2.0,299.5,17.65,23,gps,0.4,0.8,0.8,-27.7,,,,69,,1733259297000,2024-12-03T13:54:57.000-07:00,58128.98327809733,1733224973825,Default Profile,False,1
2024-12-03 20:55:58+00:00,32.445278484374285,-111.42496299929915,621.0,2.0,246.0,16.109999,23,gps,0.4,0.8,0.8,-27.7,,,,68,,1733259358000,2024-12-03T13:55:58.000-07:00,59086.31437964828,1733224973825,Default Profile,False,1
2024-12-03 20:56:59+00:00,32.44433824438602,-111.43063511699438,629.0,3.0,331.3,5.0099998,22,gps,0.4,0.8,1.0,-27.7,,,,68,,1733259419000,2024-12-03T13:56:59.000-07:00,59628.74754796288,1733224973825,Default Profile,False,1
2024-12-03 20:58:00+00:00,32.44789854157716,-111.43515581265092,636.0,2.0,6.7,10.99,22,gps,0.4,0.8,1.0,-27.7,,,,68,,1733259480000,2024-12-03T13:58:00.000-07:00,60208.988313710455,1733224973825,Default Profile,False,1
2024-12-03 20:59:00+00:00,32.45304884389043,-111.43832660280168,635.0,2.0,296.4,10.57,23,gps,0.4,0.8,1.0,-27.7,,,,68,,1733259540000,2024-12-03T13:59:00.000-07:00,60854.349386917886,1733224973825,Default Profile,False,1
2024-12-03 21:00:01+00:00,32.45551899075508,-111.4439516980201,638.0,2.0,308.9,10.08,23,gps,0.4,0.8,0.8,-27.7,,,,67,,1733259601000,2024-12-03T14:00:01.000-07:00,61449.336033552034,1733224973825,Default Profile,False,1
2024-12-03 21:02:03+00:00,32.45829968713224,-111.4498402364552,640.0,2.5,296.5,0.0,23,gps,0.4,0.8,0.8,-27.7,,,,67,,1733259662000,2024-12-03T14:01:02.000-07:00,62079.87156759544,1733224973825,Default Profile,False,2
